sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
Àw?n ?m? náà ? sáré,The children are running,Simple,DET NOUN DET AUX VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (NP (N Àw?n ?m?) (DET náà))) (VP (V ?) (V sáré))))),,,,—
Mo ra ?b?? tuntun,I bought a new knife,Simple,PRON VERB NOUN ADJ,S ? NP VP,(IP (IP (VP (V Mo) (VP (V ra) (NP (N ?b??) (ADJ tuntun)))))),,,,—
?é ??gb??n r?? wà níb??,Is your elder there,Interrogative,Q NOUN PRON AUX ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ??gb??n r??)) (VP (V wà) (PP (P níb??)))))),,,,Ques
Má ?e b??rù,Do not be afraid,Imperative,NEG AUX VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (VP (V b??rù))))),,,,—
Ìw? ni olùk??,You are the teacher,Simple,PRON AUX NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO Ìw?)) (VP (V ni) (NP (N olùk??)))))),,,,—
W??n gbà à?? náà,They received the order,Simple,PRON VERB NOUN DET,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO W??n)) (VP (V gbà) (NP (N à??) (DET náà)))))),,,,—
?e ìy?n dá ? lórí,Does that please you,Interrogative,Q PRON VERB PRON PREP,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (PRO ìy?n)) (VP (V dá) (NP (PRO ?)) (PP (P lórí))))))),,,,Ques
J?? k'á l? sí ?jà,Let us go to the market,Imperative,VERB CONJ PRON VERB PREP NOUN,S ? VP,(IP (IP (VP (V J??) (CP (C k') (IP (VP (V á) (V l?) (PP (P sí) (NP (N ?jà)))))))))),,,,—
Mo ní ilé tuntun,I have a new house,Simple,PRON AUX NOUN ADJ,S ? NP VP,(IP (IP (VP (V Mo) (VP (V ní) (NP (N ilé tuntun)))))),,,,—
?k?? náà dák??,The vehicle stopped,Simple,NOUN DET VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (NP (N ?k??) (DET náà))) (VP (V dák??))))),,,,—
?é o f?? omi,Do you want water,Interrogative,Q PRON VERB NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (NP (N omi))))))),,,,Ques
Dá a lórí,Give it on the head,Imperative,VERB PRON PREP NOUN,S ? VP,(IP (IP (VP (V Dá) (NP (PRO a)) (PP (P lórí)))))),,,,—
A gb?? orin,We heard a song,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V A) (VP (V gb??) (NP (N orin)))))),,,,—
Ìw? yóò k??wé,You will write,Simple,PRON AUX VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO Ìw?)) (VP (FUT yóò) (V k??wé))))),,,,—
?é w??n dé,Have they arrived,Interrogative,Q PRON VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V dé)))))),,,,Ques
?í il??kùn,Open the door,Imperative,VERB NOUN,S ? VP,(IP (IP (VP (V ?í) (NP (N il??kùn)))))),,,,—
Mo rí ?y?,The saw a bird,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V Mo) (VP (V rí) (NP (N ?y?)))))),,,,—
Ìtàn náà kúkú dára,The story is actually good,Simple,NOUN DET ADV ADJ,S ? NP VP,(IP (IP (VP (NP-SBJ (NP (N Ìtàn) (DET náà))) (VP (ADV kúkú) (V dára))))),,,,—
B??w?? fún àgbà,Respect the elder,Imperative,VERB PREP NOUN,S ? VP,(IP (IP (VP (V B??w??) (VP (V fún) (NP (N àgbà)))))),,,,—
?é ìw? ni olórí,Are you the leader,Interrogative,Q PRON AUX NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V ni) (NP (N olórí)))))),,,,Ques
K?? orúk? r?,Write your name,Imperative,VERB NOUN PRON,S ? VP,(IP (IP (VP (V K??) (NP (N orúk?) (PRO r?)))))),,,,—
Ó dáa o,It is fine,Simple,PRON AUX ADJ INTJ,S ? NP VP,(IP (IP (VP (V Ó) (ADJP dáa) (NP (PRO o))))),,,,—
?e ?? ti mu omi,Have you drunk water,Interrogative,Q PRON AUX VERB NOUN,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (PRO ??)) (VP (ASP ti) (V mu) (NP (N omi)))))),,,,Ques
Sáré wá,Come quickly ,Imperative ,VERB VERB,S— VP VP ,(IP (IP (VP (V Sáré) (VP (V wá)))))),,,,SVC
Mo j?un,I ate,Simple,PRON VERB,S ? NP VP,(IP (IP (VP (V Mo) (VP (V j?un)))))),,,,—
Ó l?,He went,Simple,PRON VERB,S ? NP VP,(IP (IP (VP (V Ó) (VP (V l?)))))),,,,—
W??n dé,They arrived,Simple,PRON VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO W??n)) (VP (V dé))))),,,,—
Tètè dé,Come quickly ,Imperative ,ADV VERB,S— ADV NP,(IP (IP (VP (ADVP Tètè) (V dé))))),,,,—
Mo f?? omi,I want water,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V Mo) (VP (V f??) (NP (N omi)))))),,,,—
Ó ? sun,He is sleeping,Simple,PRON AUX VERB,S ? NP VP,(IP (IP (VP (V Ó) (VP (V ?) (V sun)))))),,,,—
W??n l? sí ?jà,They went to the market,Simple,PRON VERB PREP NOUN,S ? NP VP PP,(IP (IP (VP (NP-SBJ (PRO W??n)) (VP (V l?) (PP (P sí) (NP (N ?jà))))))),,,,—
?é o rí i,Did you see it,Interrogative,Q PRON VERB PRON,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V rí) (PRO i)))))),,,,Ques
Má ?e b??rù,Do not be afraid,Imperative,NEG AUX VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (VP (V b??rù)))))),,,,—
Mo ní ìwé tuntun,I have a new book,Simple,PRON AUX NOUN ADJ,S ? NP VP,(IP (IP (VP (V Mo) (VP (V ní) (NP (N ìwé tuntun)))))),,,,—
Kó ìwé náà wá,Bring the book,Imperative,VERB NOUN DET VERB,S ? VP,(IP (IP (VP (V Kó) (NP (N ìwé) (DET náà)) (VP (V wá)))))),,,,—
Àw?n ?m? náà ? sáré,The children are running,Simple,DET NOUN DET AUX VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (NP (N Àw?n ?m?) (DET náà))) (VP (V ?) (V sáré))))),,,,—
?é w??n wà nílé,Are they at home,Interrogative,Q PRON AUX PREP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V wà) (PP (P ní) (NP (N ilé))))))),,,,Ques
Ó dára,It is good,Simple,PRON AUX ADJ,S ? NP VP,(IP (IP (VP (ADJP Ó dára))))),,,,—
Gbé aago náà sórí tábìlì,Put the clock on the table,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V Gbé) (NP (N aago) (DET náà)) (PP (P sórí) (NP (N tábìlì)))))),,,,—
Mo f?? kí o j?un,I want you to eat,Complex,PRON VERB COMP PRON VERB,S ? VP CP,(IP (IP (VP (V Mo) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V j?un)))))))),,,,Embed
Ó f?? k??wé,He wants to write,Simple,PRON VERB VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (NP (PRO Ó))) (VP (V f??) (V k??wé)))))),,,,—
?é ??gb??n r?? wà níb??,Is your elder there,Interrogative,Q NOUN PRON AUX ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ??gb??n r??)) (VP (V wà) (PP (P níb??)))))),,,,Ques
Bá a l?,Come with him,Imperative,VERB PRON VERB,S ? VP,(IP (IP (VP (V Bá) (NP (PRO a)) (V l?))))),,,,—
Mo gb?? orin,We heard a song,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V Mo) (VP (V gb??) (NP (N orin)))))),,,,—
Ó ? ?i???,He is working,Simple,PRON AUX VERB,S ? NP VP,(IP (IP (VP (V Ó) (VP (V ?) (V ?i???))))),,,,—
?e àj? náà pé,Is  the contribution complete,Interrogative,Q NOUN DET VERB,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (NP (N àj?) (DET náà))) (VP (V pé)))))),,,,Ques
J?? k'á l? sí ilé ??k??,Let us go to school,Imperative,VERB CONJ PRON VERB PREP NOUN NOUN,S ? VP,(IP (IP (VP (V J??) (CP (C k') (IP (VP (V á) (V l?) (PP (P sí) (NP (N ilé ??k??)))))))))),,,,—
Mo f?? kí w??n w?lé,I want them to enter,Complex,PRON VERB COMP PRON VERB,S ? VP CP,(IP (IP (VP (V Mo) (VP (V f??) (VP (V kí) (NP (PRO w?n)) (VP (V w?lé))))))),,,,Embed
?í il??kùn náà,Open the door,Imperative,VERB NOUN DET,S ? VP,(IP (IP (VP (V ?í) (NP (N il??kùn) (DET náà)))))),,,,—
A rá ?k? tuntun,We bought a new car,Simple,PRON VERB NOUN ADJ,S ? NP VP,(IP (IP (VP (V A) (VP (V rá) (NP (N ?k? tuntun)))))),,,,—
?é o ti dé,Have you arrived,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (ASP ti) (VP (V dé)))))),,,,Ques
Máa ?i??? l??la,Work tomorrow,Imperative,VERB NOUN,S ? VP,(IP (IP (VP (FUT Máa) (V ?i???) (ADVP l??la))))),,,,—
Mo m?? ?,I know you,Simple ,PRON VERB PRON ,S— NP VP,(IP (IP (VP (V Mo) (VP (V m??) (PRO ?))))),,,,—
Ó kàn mi,It concerns me,Simple,PRON VERB PRON,S ? NP VP,(IP (IP (VP (V Ó) (VP (V kàn) (NP (PRO mi)))))),,,,—
W??n pe ??,They called you,Simple,PRON VERB PRON,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO W??n)) (VP (V pe) (NP (PRO ??)))))),,,,—
?e ìy?n dá ? lórí,Does that please you,Interrogative,Q PRON VERB PRON PREP,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (PRO ìy?n)) (VP (V dá) (NP (PRO ?)) (PP (P lórí))))))),,,,Ques
Gbé apótí náà sórí tábìlì,Put the box on the table,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V Gbé) (NP (N apótí) (DET náà)) (PP (P sórí) (NP (N tábìlì)))))),,,,—
Mo ní ?k?? ay??k??l?? tuntun,I have a new car,Simple,PRON AUX NOUN ADJ,S ? NP VP,(IP (IP (VP (V Mo) (VP (V ní) (NP (N ?k?? ay??k??l?? tuntun)))))),,,,—
Ó y? kí a l?,It is necessary for us to go,Complex,PRON AUX COMP PRON VERB,S ? VP CP,(IP (IP (VP (V Ó) (VP (V y?) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V l?)))))))),,,,Embed
?é o f?? l?,Do you want to go,Interrogative,Q PRON VERB VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (V l?)))))),,,,Ques
K?? orúk? r?,Write your name,Imperative,VERB NOUN PRON,S ? VP,(IP (IP (VP (V K??) (NP (N orúk?) (PRO r?)))))),,,,—
A f?? omi,We want water,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V A) (VP (V f??) (NP (N omi)))))),,,,—
?é w??n ti l?,Have they gone,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (ASP ti) (VP (V l?)))))),,,,Ques
J?un kí o má bà a l?,Eat so you won't miss it,Complex,VERB CONJ PRON NEG VERB PRON VERB,S ? VP CP,(IP (IP (VP (V J?un) (VP (NEG kí) (VP (V o) (V má bà a l?)))))),,,,Embed
Mo f?? i???,I want work,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V Mo) (VP (V f??) (NP (N i???)))))),,,,—
Ó péj??,He gathered,Simple,PRON VERB,S ? NP VP,(IP (IP (VP (V Ó) (VP (V péj??))))),,,,—
?e ??r?? r?? wà níb??,Is your friend there,Interrogative,Q NOUN PRON AUX ADV,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (NP (N ??r?? r??))) (VP (V wà) (PP (P níb??)))))),,,,Ques
Máa ráyà,Be patient,Imperative,VERB NOUN,S ? VP,(IP (IP (VP (FUT Máa) (V ráyà))))),,,,—
Mo kà ìwé,I read a book ,Simple ,PRON VERB NOUN,S— NP VP,(IP (IP (VP (V Mo) (VP (V kà) (NP (N ìwé)))))),,,,—
Ó k?rin,He sang,Simple,PRON VERB,S ? NP VP,(IP (IP (VP (V Ó) (VP (V k?rin)))))),,,,—
W??n mú ?ja,They caught fish,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO W??n)) (VP (V mú) (NP (N ?ja)))))),,,,—
?é o gb?? mi,Did you hear me,Interrogative,Q PRON VERB PRON,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V gb??) (NP (PRO mi)))))),,,,Ques
Sál? ,Run away,Imperative,VERB PRON VERB,S ? VP,(IP (IP (VP (V Sál?))))),,,,—
A ra ìy??,We bought salt,Simple,PRON VERB NOUN,S ? NP VP,(IP (IP (VP (V A) (VP (V ra) (NP (N ìy??)))))),,,,—
?é w?n ní ?k??,Do they have a car,Interrogative,Q PRON AUX NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w?n)) (VP (V ní) (NP (N ?k??)))))),,,,Ques
Gbé a?? náà w?lé,Bring the cloth inside,Imperative,VERB NOUN DET VERB,S ? VP,(IP (IP (VP (V Gbé) (NP (N a??) (DET náà)) (VP (V w?lé))))),,,,—
Mo ní àná,I have yesterday ,Simple ,PRON AUX NOUN ,S— NP VP ,(IP (IP (VP (V Mo) (VP (V ní) (NP (N àná)))))),,,,—
Ó dára púp??,It is very good,Simple,PRON AUX ADV ADJ,S ? NP VP,(IP (IP (VP (ADJP Ó dára) (ADVP púp??))))),,,,—
Jáde síta,Go out,Imperative ,VERB VERB,S— VP VP,(IP (IP (VP (V Jáde) (PP (P síta)))))),,,,SVC
Olú dáadáa ni,Olú is good,Simple,NOUN ADJ COP,S ? NP VP,(IP (IP (NP-SBJ (N Olú)) (VP (V dáadáa) (COP ni)))),,,,—
?é ìw? yóò l?,Will you go,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (FUT yóò) (VP (V l?)))))),,,,Ques
Má gbàgb?? pé òót?? kì í pé,Do not believe that truth never fails,Complex,NEG VERB COMP NOUN NEG AUX VERB,S ? VP CP,(IP (IP (VP (NEG Má) (VP (V gbàgb??) (CP (C pé) (IP (NP-SBJ (NP (N òót??))) (NEG kì í pé))))))),,,,Embed
Mo rí ìmúlò tuntun nínú ìwé náà,I saw a new idea in the book,Simple,PRON VERB NOUN ADJ PREP NOUN DET,S ? NP VP PP,(IP (IP (VP (V Mo) (VP (V rí) (NP (N ìmúlò tuntun)) (PP (P nínú) (NP (N ìwé) (DET náà))))))),,,,—
"??yin ?m?, t??síwájú","My children, move forward",Imperative,NOUN NOUN VERB,NP ? N + N; S ? VP,(IP (IP (VP (NP-SBJ (N ??yin ?m?))) (VP (V t??síwájú))))),,,,—
Ó péj?? nílé ìj??,He gathered in the church,Simple,PRON VERB PREP NOUN,S ? NP VP PP,(IP (IP (VP (ADVP Ó péj??) (PP (P nílé) (NP (N ìj??)))))),,,,—
?é Olú ni olórí,Was Olú the leader,Interrogative,Q NOUN COP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (NP (N Olú))) (VP (V ni) (NP (N olórí)))))),,,,Ques
Má ?e jíj? òtí,Do not drink alcohol,Imperative,NEG VERB NOUN,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (VP (V jíj?) (NP (N òtí)))))),,,,—
A gb?? òwe kan,We heard a proverb,Simple,PRON VERB NOUN DET,S ? NP VP,(IP (IP (VP (V A) (VP (V gb??) (NP (N òwe) (DET kan)))))),,,,—
Olú àti Ade l? sí ilé w?n,Olú and Ade went to their house,Compound,NOUN CONJ NOUN VERB PREP NOUN PRON,S ? NP VP,"(IP (IP (NP-SBJ (NP (N Olú) (,)) (NP (N àti Ade)))) (VP (V l?) (PP (P sí) (NP (N ilé w?n))))))",,,,—
"Bí o bá gbàgb??, o ó rí ìyanu","If you believe, you will see a miracle",Complex,CONJ PRON AUX VERB PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (CP (C o) (VP (V bá) (V gbàgb??)))) (, o) (VP (FUT ó) (V rí) (NP (N ìyanu))))))",,,,"Embed, Comp"
Mo m?? pé ó dára,I know that it is good,Complex,PRON VERB COMP PRON AUX ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PRO ó)) (VP (V dára)))))))),,,,Embed
? j?? kí a gbàdúrà,Let us pray,Imperative,PRON VERB CONJ PRON VERB,S ? VP,(IP (IP (VP (V ?) (VP (V j??) (CP (C k') (IP (VP (V á) (V gbàdúrà)))))))),,,,—
Àw?n ?m? náà sáré,The children ran,Simple,DET NOUN DET VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (NP (N Àw?n ?m?) (DET náà))) (VP (V sáré))))),,,,—
?é w?n ní ilé kan,Do they have a house,Interrogative,Q PRON AUX NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w?n)) (VP (V ní) (NP (N ilé kan)))))),,,,Ques
Mo f?? kí o m??,I want you to know,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V m??)))))))),,,,Embed
? jókòó níbí,Sit here,Imperative,PRON VERB ADV,S ? VP,(IP (IP (VP (V ?) (VP (V jókòó) (PP (P níbí)))))),,,,—
??r?? náà péj??,The matter gathered,Simple,NOUN DET VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (N ??r??) (DET náà))) (VP (V péj??)))),,,,—
Ó pa ?ran náà,He killed the animal,Simple,PRON VERB NOUN DET,S ? NP VP,(IP (IP (VP (V Ó) (VP (V pa) (NP (N ?ran) (DET náà)))))),,,,—
?e w??n ti dé,Have they arrived,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (PRO w??n)) (VP (V ti) (VP (V dé)))))),,,,Ques
Ìw? ni baba w?n,You are their father,Simple,PRON COP NOUN PRON,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO Ìw?)) (VP (V ni) (NP (N baba w?n)))))),,,,—
Má ?e kúrò níb??,Do not leave there,Imperative,NEG VERB ADV,S ? VP,(IP (NEG (IP (VP (NEG Má) (V ?e) (VP (V kúrò) (PP (P níb??))))))),,,,—
Mo rí i pé ó t??,I saw that it is right,Complex,PRON VERB PRON COMP PRON ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (VP (V rí) (PRO i) (CP (C pé) (IP (NP-SBJ (PRO ó)) (VP (V t??)))))))),,,,Embed
A padà wá sí ilé,We returned home,Simple,PRON VERB VERB PREP NOUN,S ? NP VP,(IP (IP (VP (V A) (VP (V padà) (VP (V wá) (PP (P sí) (NP (N ilé)))))))),,,,—
?l??run ? dáàbò bo wa,God protects us,Simple,NOUN AUX VERB PREP PRON,S ? NP VP,(IP (NP-SBJ (N ?l??run)) (VP (V ?) (VP (V dáàbò) (VP (V bo) (NP (PRO wa)))))),,,,—
?é òun ló s??r??,Was it him who spoke,Interrogative,Q PRON FOC VERB,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO òun)) (VP (V ló) (VP (V s??r??)))))),,,,Ques
K?? ìwé náà,Write the book,Imperative,VERB NOUN DET,S ? VP,(IP (VP (V K??) (NP (N ìwé) (DET náà)))),,,,—
Mo f?? kí o dé,I want you to arrive,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(IP (NP-SBJ (PRO Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V dé))))))),,,,Embed
W??n k?? orin tuntun,They sang a new song,Simple,PRON VERB NOUN ADJ,S ? NP VP,(IP (NP-SBJ (PRO W??n)) (VP (V k??) (NP (N orin tuntun))))),,,,—
?e ìw? ni olùk??,Are you the teacher,Interrogative,Q PRON COP NOUN,S ? Q NP VP,(IP (NP-SBJ (PRO Ìw?)) (VP (V ni) (NP (N olùk??))))),,,,Ques
Ìf?? ? mú wa p??,Love unites us,Simple,NOUN AUX VERB PRON ADV,S ? NP VP,(IP (NP-SBJ (N Ìf??)) (VP (V ?) (VP (V mú) (NP (PRO wa) (ADJP p??)))))),,,,—
? máa gbé ayé yín ga,Live your lives high,Imperative,PRON AUX VERB NOUN PRON ADV,S ? VP,(IP (VP (V ?) (VP (V máa gbé) (NP (N ayé yín) (ADJP ga)))))),,,,—
Mo gbà pé o dára,I accept that you are good,Complex,PRON VERB COMP PRON AUX ADJ,S ? NP VP CP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V gbà pé) (IP (NP-SBJ (PRO o)) (VP (V dára))))))),,,,Embed
Ó dára púp??,It is very good,Simple,PRON AUX ADJ ADV,S ? NP VP,(IP (ADJP (A Ó dára púp??)))),,,,—
?é w?n ? b??,Are they coming,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO W??n)) (VP (V ?) (VP (V b??)))))),,,,Ques
? gbà mí s'áyè,Help me in life,Imperative,VERB PRON PREP NOUN,S ? VP,(IP (VP (V ?) (VP (V gbà) (NP (PRO mí) (PP s'áyè)))))),,,,—
Mo f?? kí ìw? l?,I want you to go,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(IP (NP-SBJ (PRO Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO Ìw?)) (VP (V l?))))))),,,,Embed
Àw?n aráyé ? y??,The people rejoiced,Simple,DET NOUN AUX VERB,S ? NP VP,(IP (NP-SBJ (N Àw?n aráyé)) (VP (V ?) (VP (V y??))))),,,,—
?k?? mi wà nílé,My husband is at home,Simple,NOUN PRON AUX PREP NOUN,S ? NP VP PP,(IP (NP-SBJ (N ?k?? mi)) (VP (V wà) (PP nílé)))),,,,—
?é o m?? pé mo wà níbí,Do you know that I am here,Interoggative , PRON VERB COMP PRON AUX ADV,S ? Q NP VP CP,(CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V m?? pé) (IP (NP-SBJ (PRO Mo)) (VP (V wà) (PP níbí))))))),,,,"Embed, Ques"
? j?? kí a k?rin,Let us sing,Imperative,PRON VERB CONJ PRON VERB,S ? VP,(IP (VP (V ?) (VP (V j?? kí) (VP (V a) (VP (V k?rin))))))),,,,—
Mo rántí ì???l?? náà,I remember that event,Simple,PRON VERB NOUN DET,S ? NP VP,(IP (NP-SBJ (PRO Mo)) (VP (V rántí) (NP (N ì???l?? náà))))),,,,—
Ó ?ubú lójú pópó,He fell on the road,Simple,PRON VERB PREP NOUN,N ? NP VP PP,(IP (VP (V Ó) (VP (V ?ubú) (PP lójú pópó))))),,,,—
?é o f?? bá wa l?,Do you want to go with us,Interrogative,Q PRON VERB PREP PRON VERB,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (VP (V bá) (NP (PRO wa)) (VP (V l?))))))),,,,Ques
Máa gbàgbé èyí,Forget this,Imperative,VERB VERB NOUN,S ? VP,(IP (VP (V Máa) (VP (V gbàgbé) (NP (N èyí)))))),,,,—
Mo rí ?? ní ?jà,I saw you at the market,Simple,PRON VERB PRON PREP NOUN,S ? NP VP PP,(IP (NP-SBJ (PRO Mo)) (VP (V rí) (NP (PRO ??) (PP ní ?jà))))),,,,—
Padà,Go back,Imperative RSA ,VERB NOUN,S— VP NP,(IP (VP (V Padà)))),,,,—
Mo ? k??,I am writing,Simple,PRON AUX VERB,S ? NP VP,(IP (NP-SBJ (PRO Mo)) (VP (V ?) (VP (V k??))))),,,,—
Ó ? rìn,He is walking,Simple,PRON AUX VERB,S ? NP VP,(IP (VP (V Ó) (VP (V ?) (VP (V rìn)))))),,,,—
W??n ? sùn,They are sleeping,Simple,PRON AUX VERB,S ? NP VP,(IP (NP-SBJ (PRO W??n)) (VP (V ?) (VP (V sùn))))),,,,—
?é ìw? ? l?,Are you going,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO Ìw?)) (VP (V ?) (VP (V l?)))))),,,,Ques
? j?? k’á gbàdúrà,Let us pray,Imperative,VERB PRON VERB,S ? VP,(IP (VP (V ?) (VP (V j?? kí) (VP (V a) (VP (V gbàdúrà))))))),,,,—
?l??run ni Olùgbàlà,God is the Saviour,Simple,NOUN COP NOUN,S ? NP VP,(IP (NP-SBJ (N ?l??run)) (VP (V ni) (NP (N Olùgbàlà))))),,,,—
Mo gb?? pé w??n dé,I heard that they arrived,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V gb?? pé) (IP (NP-SBJ (PRO W??n)) (VP (V dé))))))),,,,Embed
?é Olú ? k?rin,Is Olú singing,Interrogative,Q NOUN AUX VERB,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO Olú)) (VP (V ?) (VP (V k?rin))))))),,,,Ques
? máa gbé e lókè,Lift it up,Imperative,VERB PRON ADV,S ? VP,(IP (VP (V ?) (VP (V máa gbé) (NP (PRO e)) (ADVP lókè))))),,,,—
A níf???? ara wa,We love each other,Simple,PRON VERB NOUN PRON,S ? NP VP,(IP (NP-SBJ (PRO A)) (VP (V níf????) (NP (PRO ara wa))))),,,,—
Mo m?? pé ìfé wà,I know that love exists,Complex,PRON VERB COMP NOUN VERB,S ? NP VP CP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V m?? pé) (IP (NP-SBJ (PRO ìfé)) (VP (V wà))))))),,,,Embed
Ó s? pé ó ní láti l?,He said that he must go,Complex,PRON VERB COMP PRON AUX VERB,S ? NP VP CP,(IP (VP (V Ó) (VP (V s? pé) (IP (NP-SBJ (PRO Ó)) (VP (V ní) (VP (V láti) (VP (V l?))))))))),,,,Embed
?é ??yin ló ?e é,Was it you that did it,Interrogative,Q PRON FOC VERB PRON,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO ??yin)) (VP (V ló ?e é)))))),,,,Ques
Máa ka ìwé náà,Read the book,Imperative,VERB NOUN DET,S ? VP,(IP (VP (V Máa) (VP (V ka) (NP (N ìwé) (DET náà)))))),,,,—
Olú j?? alágbà,The Olú is an elder,Simple,NOUN COP NOUN,S ? NP VP,(IP (NP-SBJ (PRO Olú)) (VP (V j??) (NP (N alágbà))))),,,,—
Mo f?? kí o t??jú ara r?,I want you to take care of yourself,Complex,PRON VERB COMP PRON VERB NOUN PRON,S ? NP VP CP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V f??) (VP (V t??jú) (NP (PRO ara r?))))))),,,,Embed
?é w??n f?? l? sí ilé-??k??,Do they want to go to school,Interrogative,Q PRON VERB VERB PREP NOUN,S ? Q NP VP,(CP (C ?é) (IP (NP-SBJ (PRO W??n)) (VP (V f??) (VP (V l?) (PP sí ilé-??k??))))))),,,,Ques
? dúp?? l?w?? ?l??run,Thank God,Imperative,VERB PREP NOUN,S ? VP,(IP (VP (V ?) (VP (V dúp??) (PP l?w?? (NP (N ?l??run))))))),,,,—
